id,is_participant,contribution_level,primary_barrier,initial_trust,loss_tolerance,weight_strong_tie,weight_weak_tie,weight_authority,weight_public,herding_threshold,reg_sensitivity,age,gender,income_level,education
148,0,0.0,Liquidity,0.9,0.03,0.7,0.7,0.7,1.0,0.2,-1,D,0,30,男
149,0,0.0,Liquidity,0.5,0.03,1.0,0.7,0.7,1.0,0.6,1,D,0,43,女
150,0,0.0,Yield,0.7,0.05,0.2,0.4,0.7,0.4,0.2,-1,D,0,51,女
151,0,0.0,Liquidity,0.3,0.05,0.7,0.4,1.0,0.7,0.8,-1,D,0,20,女
152,0,0.0,Yield,0.6,0.03,0.7,0.4,0.4,1.0,0.2,1,D,0,35,男
153,1,0.1,None,1.0,0.05,0.2,0.4,1.0,0.4,0.0,1,D,0,29,男
154,0,0.0,Yield,0.0,0.05,0.7,0.7,1.0,1.0,0.6,1,D,0,15,女
155,0,0.0,Policy,0.5,0.03,1.0,0.7,1.0,0.4,0.6,1,D,0,24,男
156,1,0.1,None,0.5,0.05,0.7,0.4,0.7,0.7,0.6,1,D,0,42,女
157,0,0.0,Yield,0.4,0.03,0.4,0.0,0.4,0.2,0.2,-1,D,0,43,男
159,0,0.0,Policy,0.5,0.05,0.7,0.4,0.7,1.0,0.6,1,D,0,26,男
160,0,0.0,Liquidity,0.3,0.03,0.2,0.0,0.7,0.0,0.6,0,D,0,38,女
161,0,0.0,Policy,0.6,0.05,0.7,1.0,1.0,0.7,0.8,-1,D,0,39,男
162,0,0.0,Liquidity,0.7,0.03,0.4,1.0,0.2,0.7,0.6,1,D,0,38,女
163,0,0.0,Liquidity,0.8,0.05,0.2,0.7,0.4,1.0,0.6,1,D,0,35,女
166,1,1.0,None,0.8,0.05,0.4,0.2,0.7,0.7,0.0,1,D,0,28,女
167,0,0.0,Liquidity,0.8,0.05,0.7,1.0,0.7,0.7,0.2,-1,D,0,23,女
168,1,1.0,None,0.8,0.05,1.0,0.7,0.7,0.7,0.6,1,D,0,30,男
169,1,0.1,None,0.7,0.03,0.7,0.4,1.0,0.4,0.0,-1,D,0,38,女
170,1,0.1,None,0.5,0.05,0.4,0.7,1.0,0.7,0.6,0,D,0,30,女
171,0,0.0,Yield,0.7,0.05,0.7,0.4,1.0,0.7,0.6,1,D,0,26,男
173,1,1.0,None,0.7,0.05,0.2,0.0,0.2,0.4,0.2,-1,D,0,28,男
174,0,0.0,Liquidity,0.6,0.05,1.0,0.7,0.4,0.7,0.8,1,D,0,24,女
175,0,0.0,Info,0.6,0.03,0.7,0.7,1.0,0.7,0.6,1,D,0,49,女
177,1,1.0,None,0.9,0.05,0.7,0.7,0.4,0.4,0.2,1,D,0,40,男
178,0,0.0,Liquidity,0.3,0.03,0.7,0.7,1.0,0.2,0.0,1,D,0,30,男
179,0,0.0,Liquidity,0.4,0.05,0.2,0.4,0.0,0.2,0.0,-1,D,0,35,男
180,0,0.0,Yield,0.4,0.05,0.7,0.4,0.7,0.7,0.2,1,D,0,45,女
181,1,0.1,None,0.6,0.05,0.7,0.7,1.0,0.7,0.2,-1,D,0,28,女
182,1,1.0,None,1.0,0.05,0.7,0.7,1.0,1.0,0.2,1,D,0,41,女
184,1,1.0,None,0.6,0.03,0.7,0.7,0.4,0.4,0.6,-1,D,0,30,女
186,0,0.0,Liquidity,0.8,0.05,0.4,1.0,1.0,0.7,0.6,1,D,0,24,男
187,1,1.0,None,1.0,0.03,1.0,0.7,0.7,1.0,0.6,1,D,0,36,男
188,0,0.0,Policy,0.6,0.03,0.7,0.4,1.0,0.7,0.6,-1,D,0,35,女
189,0,0.0,Policy,0.5,0.05,0.7,0.7,0.7,0.7,0.8,-1,D,0,23,女
190,0,0.0,Policy,0.6,0.03,0.7,0.7,1.0,0.7,0.6,1,D,0,35,男
191,0,0.0,Policy,0.5,0.03,0.7,0.4,0.7,0.4,0.8,1,D,0,22,女
192,1,1.0,None,0.8,0.03,0.4,0.4,0.7,0.7,0.2,1,D,0,33,女
193,0,0.0,Info,0.7,0.03,0.7,0.7,0.7,0.2,0.6,0,D,0,39,男
195,0,0.0,Info,0.7,0.03,0.7,0.2,0.2,0.7,0.2,-1,D,0,37,男
196,0,0.0,Yield,0.1,0.05,0.4,0.2,0.4,0.7,0.2,-1,D,0,36,男
197,0,0.0,Policy,0.5,0.05,0.4,0.4,0.7,0.4,0.8,1,D,0,32,女
198,1,0.1,None,0.6,0.05,0.2,0.2,0.7,0.4,0.6,-1,D,0,34,女
200,0,0.0,Info,0.6,0.05,0.7,0.4,0.7,1.0,0.8,1,D,0,37,女
201,0,0.0,Yield,0.5,0.05,0.4,0.7,1.0,0.7,0.6,1,D,0,36,女
202,1,1.0,None,0.3,0.05,0.7,1.0,0.2,1.0,0.2,-1,D,0,36,男
203,1,1.0,None,1.0,0.03,0.7,0.7,1.0,1.0,0.0,1,D,0,41,女
205,1,1.0,None,0.9,0.05,0.4,1.0,0.7,0.7,0.2,1,D,0,35,女
208,0,0.0,Liquidity,0.8,0.05,0.7,0.4,0.7,0.4,0.6,-1,D,0,30,男
209,0,0.0,Policy,0.7,0.05,0.7,0.7,1.0,0.7,0.2,1,D,0,22,女
210,1,1.0,None,0.7,0.05,0.2,0.4,1.0,0.7,0.6,1,D,0,63,女
211,1,1.0,None,0.8,0.03,0.7,1.0,1.0,0.7,0.6,1,D,0,30,男
212,1,1.0,None,0.5,0.03,0.7,0.4,0.7,0.7,0.2,-1,D,0,29,男
213,1,1.0,None,0.9,0.03,0.7,1.0,0.4,0.4,0.2,1,D,0,40,男
214,1,1.0,None,0.9,0.03,0.7,0.7,1.0,0.4,0.2,1,D,0,35,女
215,0,0.0,Liquidity,0.7,0.05,0.4,0.4,0.7,0.7,0.2,-1,D,0,25,女
216,0,0.0,Liquidity,0.7,0.03,0.7,0.4,1.0,0.7,0.6,-1,D,0,24,女
217,1,1.0,None,1.0,0.05,0.7,1.0,1.0,0.7,0.8,1,D,0,43,男
219,0,0.0,Yield,0.7,0.03,0.7,0.4,0.4,0.7,0.2,1,D,0,29,男
220,1,1.0,None,0.7,0.05,0.7,1.0,1.0,1.0,0.6,-1,D,0,36,女
222,0,0.0,Policy,0.3,0.05,0.7,0.7,0.4,0.4,0.6,-1,D,0,26,男
223,0,0.0,Liquidity,0.6,0.05,0.2,0.2,0.4,0.4,0.2,-1,D,0,29,男
225,1,1.0,None,1.0,0.05,1.0,0.7,1.0,1.0,0.0,1,D,0,44,男
226,0,0.0,Liquidity,0.7,0.05,0.7,0.4,1.0,0.7,0.0,0,D,0,35,女
227,0,0.0,Liquidity,0.2,0.05,0.4,0.7,0.2,0.4,0.2,-1,D,0,31,男
228,1,1.0,None,0.7,0.03,0.4,0.7,1.0,0.7,0.0,1,D,0,39,女
229,1,1.0,None,0.7,0.05,0.2,0.4,0.7,0.7,0.6,-1,D,0,28,女
230,0,0.0,Yield,0.4,0.05,0.2,0.2,0.4,0.2,0.8,1,D,0,33,女
231,1,1.0,None,1.0,0.05,1.0,0.4,0.7,1.0,0.6,1,D,0,36,男
232,1,1.0,None,1.0,0.03,0.7,0.7,1.0,0.7,0.6,1,D,0,25,女
233,0,0.0,Info,0.8,0.03,0.4,0.7,0.7,0.4,0.2,-1,D,0,34,女
234,1,1.0,None,0.8,0.05,0.7,0.7,0.7,1.0,0.6,-1,D,0,44,男
235,1,1.0,None,0.4,0.05,1.0,0.2,0.7,1.0,0.2,-1,D,0,26,男
237,1,1.0,None,0.9,0.05,0.4,0.7,0.7,1.0,0.6,1,D,0,39,男
238,1,1.0,None,0.8,0.05,0.7,0.4,0.4,1.0,0.0,1,D,0,45,女
239,1,1.0,None,0.6,0.03,0.7,0.7,0.7,0.7,0.2,-1,D,0,35,男
240,0,0.0,Liquidity,0.8,0.03,0.4,0.2,0.7,1.0,0.0,1,D,0,23,女
241,0,0.0,Policy,0.0,0.05,0.4,0.4,0.4,0.4,0.0,0,D,0,40,男
242,1,1.0,None,0.9,0.05,0.4,1.0,0.7,1.0,0.6,1,D,0,28,女
243,0,0.0,Info,0.6,0.03,0.7,1.0,1.0,0.7,0.6,1,D,0,33,男
244,1,1.0,None,1.0,0.03,0.7,0.4,0.7,1.0,0.6,-1,D,0,32,女
245,0,0.0,Policy,0.5,0.05,0.7,0.4,0.7,0.7,0.2,1,D,0,26,女
246,1,1.0,None,0.7,0.05,0.4,0.2,0.7,0.7,0.0,1,D,0,28,女
248,1,0.1,None,0.6,0.05,0.2,0.2,0.4,0.2,0.6,1,D,0,34,男
249,0,0.0,Policy,0.3,0.05,0.4,0.2,0.7,1.0,0.8,1,D,0,25,女
250,1,0.1,None,0.4,0.05,0.7,0.7,1.0,0.7,0.8,-1,D,0,37,女
252,0,0.0,Liquidity,0.8,0.03,0.7,0.4,0.4,0.7,0.8,-1,D,0,35,男
253,0,0.0,Other,0.8,0.05,0.4,0.7,0.4,0.2,0.8,1,D,0,71,男
254,1,1.0,None,0.8,0.05,0.7,0.4,1.0,0.7,0.8,1,D,0,34,女
255,1,0.1,None,0.8,0.03,0.7,0.4,1.0,0.7,0.6,1,D,0,43,男
256,1,1.0,None,0.8,0.05,0.4,0.4,1.0,0.7,0.6,1,D,0,36,男
257,0,0.0,Policy,0.5,0.03,0.4,0.4,0.0,0.7,0.6,1,D,0,26,男
258,1,0.1,None,0.9,0.05,0.4,0.4,1.0,0.7,0.2,1,D,0,32,男
259,0,0.0,Liquidity,0.5,0.05,0.4,0.4,0.7,0.2,0.6,1,D,0,29,女
260,0,0.0,Policy,0.5,0.05,0.7,0.2,1.0,0.7,0.6,1,D,0,32,男
261,1,1.0,None,0.9,0.05,1.0,0.7,0.7,1.0,0.6,1,D,0,33,女
262,1,1.0,None,0.3,0.05,0.2,0.2,0.7,0.4,0.8,1,D,0,26,女
263,1,1.0,None,1.0,0.05,1.0,0.7,0.7,0.7,0.2,1,D,0,27,女
264,0,0.0,Yield,0.9,0.05,0.2,0.2,0.4,0.7,0.2,-1,D,0,56,男
265,0,0.0,Liquidity,0.5,0.05,0.7,0.7,1.0,0.7,0.8,1,D,0,22,女
267,1,1.0,None,0.3,0.05,0.4,0.0,0.7,1.0,0.2,-1,D,0,25,女
269,0,0.0,Liquidity,0.9,0.03,0.4,0.7,0.4,0.2,0.6,1,D,0,34,女
270,1,0.1,None,0.8,0.05,0.4,0.4,0.7,0.4,0.0,-1,D,0,37,男
271,0,0.0,Policy,0.5,0.03,0.7,0.7,1.0,0.7,0.6,-1,D,0,26,男
272,1,1.0,None,0.5,0.05,1.0,1.0,0.7,0.7,0.2,1,D,0,36,女
273,0,0.0,Liquidity,0.6,0.03,0.4,0.7,0.7,1.0,0.8,-1,D,0,25,男
274,1,1.0,None,0.3,0.05,1.0,0.7,0.4,0.7,0.6,1,D,0,32,女
276,0,0.0,Liquidity,0.8,0.05,1.0,0.0,0.7,0.4,0.6,1,D,0,28,女
277,0,0.0,Liquidity,0.3,0.03,0.7,0.4,0.4,0.7,0.6,-1,D,0,33,男
278,1,1.0,None,0.2,0.05,0.4,0.4,0.4,0.7,0.2,-1,D,0,81,男
279,1,1.0,None,0.7,0.05,0.4,0.7,1.0,0.7,0.2,1,D,0,29,女
280,1,1.0,None,0.8,0.05,0.4,0.2,0.2,0.2,0.2,-1,D,0,36,女
